Compound ID,ESOL predicted log solubility in mols per litre,Minimum Degree,Molecular Weight,Number of H-Bond Donors,Number of Rings,Number of Rotatable Bonds,Polar Surface Area,measured log solubility in mols per litre,smiles,Fingerprint,MW,LogP,TPSA,HBD,HBA,scaffold
Amigdalin,-0.974,1,457.4320000000001,7,3,7,202.32,-0.77,OCC3OC(OCC2OC(OC(C#N)c1ccccc1)C(O)C(O)C2O)C(O)C(O)C3O ,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C74D98C200>,457.4320000000001,-3.1080199999999985,202.31999999999996,7.0,12.0,c1ccc(COC2CCCC(COC3CCCCO3)O2)cc1
Fenfuram,-2.885,1,201.225,1,2,2,42.24,-3.3,Cc1occc1C(=O)Nc2ccccc2,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C74D98C2E0>,201.22500000000002,2.840320000000001,42.24,1.0,2.0,O=C(Nc1ccccc1)c1ccoc1
citral,-2.579,1,152.237,0,0,4,17.07,-2.06,CC(C)=CCCC(C)=CC(=O),<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C74D98C3C0>,152.237,2.878000000000001,17.07,0.0,1.0,
Picene,-6.617999999999999,2,278.354,0,5,0,0.0,-7.87,c1ccc2c(c1)ccc3c2ccc4c5ccccc5ccc43,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C74D98C4A0>,278.354,6.299400000000004,0.0,0.0,0.0,c1ccc2c(c1)ccc1c2ccc2c3ccccc3ccc21
Thiophene,-2.232,2,84.14299999999999,0,1,0,0.0,-1.33,c1ccsc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C74D98C580>,84.14299999999999,1.7480999999999998,0.0,0.0,1.0,c1ccsc1
benzothiazole,-2.733,2,135.191,0,2,0,12.89,-1.5,c2ccc1scnc1c2 ,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C74D98C660>,135.191,2.2962999999999996,12.89,0.0,2.0,c1ccc2scnc2c1
"2,2,4,6,6'-PCB",-6.545,1,326.437,0,2,1,0.0,-7.32,Clc1cc(Cl)c(c(Cl)c1)c2c(Cl)cccc2Cl,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C74D98C740>,326.437,6.620600000000001,0.0,0.0,0.0,c1ccc(-c2ccccc2)cc1
Estradiol,-4.138,1,272.388,2,4,0,40.46,-5.03,CC12CCC3C(CCc4cc(O)ccc34)C2CCC1O,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C74D98C820>,272.388,3.6092000000000026,40.46,2.0,2.0,c1ccc2c(c1)CCC1C2CCC2CCCC21
Dieldrin,-4.533,1,380.913,0,5,0,12.53,-6.29,ClC4=C(Cl)C5(Cl)C3C1CC(C2OC12)C3C4(Cl)C5(Cl)Cl,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C74D98C900>,380.913,4.481400000000002,12.53,0.0,1.0,C1=CC2CC1C1C3CC(C4OC34)C21
Rotenone,-5.246,1,394.4230000000002,0,5,3,63.22,-4.42,COc5cc4OCC3Oc2c1CC(Oc1ccc2C(=O)C3c4cc5OC)C(C)=C ,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C74D98C9E0>,394.42300000000023,3.7033000000000023,63.22,0.0,6.0,O=C1c2ccc3c(c2OC2COc4ccccc4C12)CCO3
